quiz_id,question_id,choice_id,sort_order,label,label_en,explanation,explanation_en
clauseUntangler,cu_018,b,2,自転車[じてんしゃ],自転車 (Bicycle),,
clauseUntangler,cu_018,c,3,値段[ねだん],値段 (Price),,
clauseUntangler,cu_018,d,4,町[まち],町 (Home),,
clauseUntangler,cu_019,a,1,色[いろ],色 (Color),,
clauseUntangler,cu_019,b,2,店[みせ],店 (Shop),,
clauseUntangler,cu_019,c,3,りんご,りんご (Apple),,
clauseUntangler,cu_019,d,4,数[すう],数 (Number),,
clauseUntangler,cu_020,a,1,休[やす]み,休み (Close),,
clauseUntangler,cu_020,b,2,音[おと],音 (Sound),,
clauseUntangler,cu_020,c,3,ホテル,ホテル (Hotels),,
clauseUntangler,cu_020,d,4,部屋[へや],部屋 (Room),,
clauseUntangler,cu_021,a,1,味噌汁[みそしる],味噌汁 (Miso soup),,
clauseUntangler,cu_021,b,2,今朝[けさ],今朝 (Morning),,
clauseUntangler,cu_021,c,3,香[かお]り,香り (g),,
clauseUntangler,cu_021,d,4,台所[だいどころ],台所 (Kitchen),,
clauseUntangler,cu_022,a,1,昨日[きのう],昨日 (2 days ago),,
clauseUntangler,cu_022,b,2,先生[せんせい],先生 (Teacher),,
clauseUntangler,cu_022,c,3,駅[えき],駅 (Station),,
clauseUntangler,cu_022,d,4,本[ほん],本,,
clauseUntangler,cu_023,a,1,先週[せんしゅう],先週 (Last week),,
clauseUntangler,cu_023,b,2,名前[なまえ],名前 (Name),,
clauseUntangler,cu_023,c,3,映画[えいが],映画 (Movie),,
clauseUntangler,cu_023,d,4,友達[ともだち],友達 (Friends),,
clauseUntangler,cu_024,a,1,教室[きょうしつ],教室 (Classroom),,
clauseUntangler,cu_024,b,2,先生[せんせい],先生 (Teacher),,
clauseUntangler,cu_024,c,3,渡[わた]し,渡し (),,
clauseUntangler,cu_024,d,4,財布[さいふ],財布 (),,
clauseUntangler,cu_025,a,1,子[こ]どもたち,子どもたち (Children),,
clauseUntangler,cu_025,b,2,公園[こうえん],公園 (Park),,
clauseUntangler,cu_025,c,3,遊[あそ]び,遊び (Home),,
clauseUntangler,cu_025,d,4,家[いえ],家 (Home),,
clauseUntangler,cu_026,a,1,駅前[えきまえ],駅前 (Close),,
clauseUntangler,cu_026,b,2,花[はな],花 (Flowers),,
clauseUntangler,cu_026,c,3,母[はは],母 (Mother),,
clauseUntangler,cu_026,d,4,贈[おく]り物[もの],贈り物 (Gifts),,
clauseUntangler,cu_027,a,1,図書館[としょかん],図書館 (Library),,
clauseUntangler,cu_027,b,2,面白[おもしろ]さ,面白さ (),,
clauseUntangler,cu_027,c,3,本[ほん],本,,
clauseUntangler,cu_027,d,4,週末[しゅうまつ],週末 (Weekend),,
clauseUntangler,cu_028,a,1,昨日[きのう],昨日 (2 days ago),,
clauseUntangler,cu_028,b,2,顔[かお],顔 (Face),,
clauseUntangler,cu_028,c,3,話[はなし],話 (),,
clauseUntangler,cu_028,d,4,人[ひと],人 (Home),,
clauseUntangler,cu_029,a,1,町[まち],町 (Home),,
clauseUntangler,cu_029,b,2,去年[きょねん],去年 (Last year),,
clauseUntangler,cu_029,c,3,変化[へんか],変化 (Change),,
clauseUntangler,cu_029,d,4,家[いえ],家 (Home),,
clauseUntangler,cu_030,a,1,今朝[けさ],今朝 (Morning),,
clauseUntangler,cu_030,b,2,雪[ゆき],雪 (Snow),,
clauseUntangler,cu_030,c,3,道[みち],道 (),,
clauseUntangler,cu_030,d,4,天気[てんき],天気 (Weather),,
clauseUntangler,cu_031,a,1,昨日[きのう],昨日 (2 days ago),,
clauseUntangler,cu_031,b,2,配達[はいたつ],配達 (Delivery),,
clauseUntangler,cu_031,c,3,荷物[にもつ],荷物 (Luggage),,
clauseUntangler,cu_031,d,4,箱[ばこ],箱 (Box),,
clauseUntangler,cu_032,a,1,駅[えき],駅 (Station),,
clauseUntangler,cu_032,b,2,ホーム,ホーム (Home),,
clauseUntangler,cu_032,c,3,電車[でんしゃ],電車 (Train),,
clauseUntangler,cu_032,d,4,鳥[とり],鳥 (Birds),,
clauseUntangler,cu_033,a,1,友[とも]だち,友だち (Home),,
clauseUntangler,cu_033,b,2,昨日[きのう],昨日 (2 days ago),,
clauseUntangler,cu_033,c,3,病院[びょういん],病院 (Hospital),,
clauseUntangler,cu_033,d,4,元気[げんき],元気 (Home),,
clauseUntangler,cu_034,a,1,売[う]れ行[ゆ]き,売れ行き (Sell),,
clauseUntangler,cu_034,b,2,値段[ねだん],値段 (Price),,
clauseUntangler,cu_034,c,3,店[みせ],店 (Shop),,
clauseUntangler,cu_034,d,4,商品[しょうひん],商品 (Products),,
clauseUntangler,cu_035,a,1,歴史[れきし],歴史 (History),,
clauseUntangler,cu_035,b,2,町[まち],町 (Home),,
clauseUntangler,cu_035,c,3,建物[たてもの],建物 (Building),,
clauseUntangler,cu_035,d,4,計画[けいかく],計画 (),,
clauseUntangler,cu_036,a,1,本[ほん],本,,
clauseUntangler,cu_036,b,2,名前[なまえ],名前 (Name),,
clauseUntangler,cu_036,c,3,図書館[としょかん],図書館 (Library),,
clauseUntangler,cu_036,d,4,作家[さっか],作家 (Home),,
clauseUntangler,cu_037,a,1,池[いけ],池 (),,
clauseUntangler,cu_037,b,2,周[まわ]り,周り (Close),,
clauseUntangler,cu_037,c,3,公園[こうえん],公園 (Park),,
clauseUntangler,cu_037,d,4,道[みち],道 (),,
clauseUntangler,cu_038,a,1,下[した],下 (Close),,
clauseUntangler,cu_038,b,2,空[そら],空 (Home),,
clauseUntangler,cu_038,c,3,昼寝[ひるね],昼寝 (Sleeping),,
clauseUntangler,cu_038,d,4,雲[くも],雲 (clouds),,
clauseUntangler,cu_039,a,1,風[かぜ],風 (Wind),,
clauseUntangler,cu_039,b,2,季節[きせつ],季節 (Season),,
clauseUntangler,cu_039,c,3,春[はる],春 (Spring),,
clauseUntangler,cu_039,d,4,町[まち],町 (Home),,
clauseUntangler,cu_040,a,1,影[かげ],影 (),,
clauseUntangler,cu_040,b,2,公園[こうえん],公園 (Park),,
clauseUntangler,cu_040,c,3,日差[ひざ]し,日差し (Home),,
clauseUntangler,cu_040,d,4,木[き],木 (Wood),,
clauseUntangler,cu_041,a,1,寺[てら],寺 (Temple),,
clauseUntangler,cu_041,b,2,庭[にわ],庭 (Garden),,
clauseUntangler,cu_041,c,3,観光[かんこう],観光 (Sightseeing),,
clauseUntangler,cu_041,d,4,歴史[れきし],歴史 (History),,
clauseUntangler,cu_042,a,1,授業[じゅぎょう],授業 (),,
clauseUntangler,cu_042,b,2,先生[せんせい],先生 (Teacher),,
clauseUntangler,cu_042,c,3,学校[がっこう],学校 (School),,
clauseUntangler,cu_042,d,4,教科書[きょうかしょ],教科書 (English),,
clauseUntangler,cu_043,a,1,雪[ゆき],雪 (Snow),,
clauseUntangler,cu_043,b,2,天気[てんき],天気 (Weather),,
clauseUntangler,cu_043,c,3,山[やま],山 (Home),,
clauseUntangler,cu_043,d,4,道[みち],道 (),,
clauseUntangler,cu_044,a,1,お店[みせ],お店 (Shop),,
clauseUntangler,cu_044,b,2,先[さき],先 (Home),,
clauseUntangler,cu_044,c,3,角[かく],角 (Angle),,
clauseUntangler,cu_044,d,4,道[みち],道 (),,
clauseUntangler,cu_045,a,1,夜[よる],夜 (Night),,
clauseUntangler,cu_045,b,2,海[うみ],海 (Sea),,
clauseUntangler,cu_045,c,3,音[おと],音 (Sound),,
clauseUntangler,cu_045,d,4,月[つき],月 (Home),,
clauseUntangler,cu_046,a,1,話[はなし],話 (),,
clauseUntangler,cu_046,b,2,夢[ゆめ],夢 (Home),,
clauseUntangler,cu_046,c,3,田中[たなか]さん,田中さん (Mr. Tanaka),,
clauseUntangler,cu_046,d,4,時間[じかん],時間 (Time),,
clauseUntangler,cu_047,a,1,雨[あめ],雨 (Rain),,
clauseUntangler,cu_047,b,2,日[ひ],日 (Home),,
clauseUntangler,cu_047,c,3,事故[じこ],事故 (Accident),,
clauseUntangler,cu_047,d,4,警察[けいさつ],警察 (Police),,
clauseUntangler,cu_048,a,1,試験[しけん],試験 (Test),,
clauseUntangler,cu_048,b,2,顔[かお],顔 (Face),,
clauseUntangler,cu_048,c,3,教室[きょうしつ],教室 (Classroom),,
clauseUntangler,cu_048,d,4,学生[がくせい],学生 (Student),,
clauseUntangler,cu_049,a,1,人[ひと]たち,人たち (People),,
clauseUntangler,cu_049,b,2,電車[でんしゃ],電車 (Train),,
clauseUntangler,cu_049,c,3,便[びん],便 (Home),,
clauseUntangler,cu_049,d,4,駅[えき],駅 (Station),,
clauseUntangler,cu_050,a,1,風[かぜ],風 (Wind),,
clauseUntangler,cu_050,b,2,木[き],木 (Wood),,
clauseUntangler,cu_050,c,3,道[みち],道 (),,
clauseUntangler,cu_050,d,4,枝[えだ],枝 (),,
clauseUntangler,cu_051,a,1,火事[かじ],火事 (Fire),,
clauseUntangler,cu_051,b,2,公園[こうえん],公園 (Park),,
clauseUntangler,cu_051,c,3,家[いえ],家 (Home),,
clauseUntangler,cu_051,d,4,跡地[あとち],跡地 (Location),,
clauseUntangler,cu_052,a,1,先生[せんせい],先生 (Teacher),,
clauseUntangler,cu_052,b,2,意味[いみ],意味 (),,
clauseUntangler,cu_052,c,3,授業[じゅぎょう],授業 (),,
clauseUntangler,cu_052,d,4,言葉[ことば],言葉 (English),,
clauseUntangler,cu_053,a,1,お守[まも]り,お守り (Home),,
clauseUntangler,cu_053,b,2,友[とも]だち,友だち (Home),,
clauseUntangler,cu_053,c,3,色[いろ],色 (Color),,
clauseUntangler,cu_053,d,4,神社[じんじゃ],神社 (Home),,
clauseUntangler,cu_054,a,1,母[はは],母 (Mother),,
clauseUntangler,cu_054,b,2,かぎ,かぎ (Home),,
clauseUntangler,cu_054,c,3,場所[ばしょ],場所 (Location),,
clauseUntangler,cu_054,d,4,引[ひ]き出[だ]し,引き出し (Drawer),,
clauseUntangler,cu_055,a,1,店[みせ],店 (Shop),,
clauseUntangler,cu_055,b,2,名前[なまえ],名前 (Name),,
clauseUntangler,cu_055,c,3,人[ひと],人 (Home),,
clauseUntangler,cu_055,d,4,制服[せいふく],制服 (Uniform),,
clauseUntangler,cu_056,a,1,日本[にっぽん],日本 (Japanese),,
clauseUntangler,cu_056,b,2,箱[ばこ],箱 (Box),,
clauseUntangler,cu_056,c,3,友[とも]だち,友だち (Home),,
clauseUntangler,cu_056,d,4,お茶[ちゃ],お茶 (Tea),,
clauseUntangler,cu_057,a,1,音[おと],音 (Sound),,
clauseUntangler,cu_057,b,2,昨日[きのう],昨日 (2 days ago),,
clauseUntangler,cu_057,c,3,正体[しょうたい],正体 (),,
clauseUntangler,cu_057,d,4,隣[となり],隣 (Close),,
clauseUntangler,cu_058,a,1,雨[あめ],雨 (Rain),,
clauseUntangler,cu_058,b,2,午後[ごご],午後 (Afternoon),,
clauseUntangler,cu_058,c,3,空[そら],空 (Home),,
clauseUntangler,cu_058,d,4,雲[くも],雲 (clouds),,
clauseUntangler,cu_059,a,1,席[せき],席 (Seat),,
clauseUntangler,cu_059,b,2,予定[よてい],予定 (),,
clauseUntangler,cu_059,c,3,客[きゃく],客 (Contact),,
clauseUntangler,cu_059,d,4,店[みせ],店 (Shop),,
clauseUntangler,cu_060,a,1,内容[ないよう],内容 (),,
clauseUntangler,cu_060,b,2,日付[ひづけ],日付 (Date),,
clauseUntangler,cu_060,c,3,友達[ともだち],友達 (Friends),,
clauseUntangler,cu_060,d,4,約束[やくそく],約束 (),,
clauseUntangler,cu_061,a,1,問題[もんだい],問題 (),,
clauseUntangler,cu_061,b,2,リスト,リスト (List),,
clauseUntangler,cu_061,c,3,会議[かいぎ],会議 (Meeting),,
clauseUntangler,cu_061,d,4,社長[しゃちょう],社長 (President),,
clauseUntangler,cu_062,a,1,コピー,コピー (),,
clauseUntangler,cu_062,b,2,書類[しょるい],書類 (),,
clauseUntangler,cu_062,c,3,提出[ていしゅつ],提出 (),,
clauseUntangler,cu_062,d,4,封筒[ふうとう],封筒 (Envel),,
clauseUntangler,cu_063,a,1,場所[ばしょ],場所 (Location),,
clauseUntangler,cu_063,b,2,人[ひと],人 (Home),,
clauseUntangler,cu_063,c,3,秘密[ひみつ],秘密 (Home),,
clauseUntangler,cu_063,d,4,話[はなし],話 (),,
clauseUntangler,cu_064,a,1,連絡[れんらく],連絡 (Contact),,
clauseUntangler,cu_064,b,2,上司[じょうし],上司 (Home),,
clauseUntangler,cu_064,c,3,今日[きょう],今日 (Today),,
clauseUntangler,cu_064,d,4,仕事[しごと],仕事 (Work),,
clauseUntangler,cu_065,a,1,方法[ほうほう],方法 (),,
clauseUntangler,cu_065,b,2,彼[かれ],彼 (),,
clauseUntangler,cu_065,c,3,説明[せつめい],説明,,
clauseUntangler,cu_065,d,4,結果[けっか],結果 (Result),,
clauseUntangler,cu_066,a,1,会議[かいぎ],会議 (Meeting),,
clauseUntangler,cu_066,b,2,日程[にってい],日程 (Schedule),,
clauseUntangler,cu_066,c,3,変更[へんこう],変更 (),,
clauseUntangler,cu_066,d,4,参加者[さんかしゃ],参加者 (Participants),,
clauseUntangler,cu_067,a,1,店長[てんちょう],店長 (Store Manager),,
clauseUntangler,cu_067,b,2,味[あじ],味 (Menu),,
clauseUntangler,cu_067,c,3,料理[りょうり],料理 (Menu),,
clauseUntangler,cu_067,d,4,メニュー,メニュー,,
clauseUntangler,cu_068,a,1,風邪[かぜ],風邪 (Cold),,
clauseUntangler,cu_068,b,2,薬[くすり],薬 (Medicine),,
clauseUntangler,cu_068,c,3,体[からだ],体 (Body),,
clauseUntangler,cu_068,d,4,とき,とき (Home),,
clauseUntangler,cu_069,a,1,あと,あと (Close),,
clauseUntangler,cu_069,b,2,本[ほん],本,,
clauseUntangler,cu_069,c,3,気持[きも]ち,気持ち (),,
clauseUntangler,cu_069,d,4,夜[よる],夜 (Night),,
clauseUntangler,cu_070,a,1,約束[やくそく],約束 (),,
clauseUntangler,cu_070,b,2,はず,はず (Close),,
clauseUntangler,cu_070,c,3,時間[じかん],時間 (Time),,
clauseUntangler,cu_070,d,4,友達[ともだち],友達 (Friends),,
clauseUntangler,cu_071,a,1,旅行[りょこう],旅行 (Travel),,
clauseUntangler,cu_071,b,2,地図[ちず],地図 (Map),,
clauseUntangler,cu_071,c,3,ところ,ところ (Home),,
clauseUntangler,cu_071,d,4,計画[けいかく],計画 (),,
clauseUntangler,cu_072,a,1,経験[けいけん],経験 (Experience),,
clauseUntangler,cu_072,b,2,人[ひと],人 (Home),,
clauseUntangler,cu_072,c,3,ニュース,ニュース (News),,
clauseUntangler,cu_072,d,4,話[はなし],話 (),,
clauseUntangler,cu_073,a,1,色[いろ],色 (Color),,
clauseUntangler,cu_073,b,2,花[はな],花 (Flowers),,
clauseUntangler,cu_073,c,3,庭[にわ],庭 (Garden),,
clauseUntangler,cu_073,d,4,春[はる],春 (Spring),,
clauseUntangler,cu_074,a,1,説明[せつめい],説明,,
clauseUntangler,cu_074,b,2,部分[ぶぶん],部分 (Part),,
clauseUntangler,cu_074,c,3,授業[じゅぎょう],授業 (),,
clauseUntangler,cu_074,d,4,先生[せんせい],先生 (Teacher),,
clauseUntangler,cu_075,a,1,名前[なまえ],名前 (Name),,
clauseUntangler,cu_075,b,2,声[こえ],声 (),,
clauseUntangler,cu_075,c,3,人[ひと],人 (Home),,
clauseUntangler,cu_075,d,4,駅[えき],駅 (Station),,
clauseUntangler,cu_076,a,1,電車[でんしゃ],電車 (Train),,
clauseUntangler,cu_076,b,2,会議[かいぎ],会議 (Meeting),,
clauseUntangler,cu_076,c,3,会社[かいしゃ],会社 (Company),,
clauseUntangler,cu_076,d,4,せい,せい (),,
clauseUntangler,cu_077,a,1,日[ひ],日 (Home),,
clauseUntangler,cu_077,b,2,雨[あめ],雨 (Rain),,
clauseUntangler,cu_077,c,3,写真[しゃしん],写真 (Photos),,
clauseUntangler,cu_077,d,4,記憶[きおく],記憶 (Memory),,
clauseUntangler,cu_078,a,1,試験[しけん],試験 (Test),,
clauseUntangler,cu_078,b,2,友[とも]だち,友だち (Home),,
clauseUntangler,cu_078,c,3,顔[かお],顔 (Face),,
clauseUntangler,cu_078,d,4,発表[はっぴょう],発表 (),,
clauseUntangler,cu_079,a,1,学生[がくせい],学生 (Student),,
clauseUntangler,cu_079,b,2,田中[たなか]さん,田中さん (Mr. Tanaka),,
clauseUntangler,cu_079,c,3,名前[なまえ],名前 (Name),,
clauseUntangler,cu_079,d,4,学校[がっこう],学校 (School),,
clauseUntangler,cu_080,a,1,春[はる],春 (Spring),,
clauseUntangler,cu_080,b,2,旅行[りょこう],旅行 (Travel),,
clauseUntangler,cu_080,c,3,予定[よてい],予定 (),,
clauseUntangler,cu_080,d,4,休[やす]み,休み (Close),,
clauseUntangler,cu_081,a,1,字[じ],字 (),,
clauseUntangler,cu_081,b,2,夢[ゆめ],夢 (Home),,
clauseUntangler,cu_081,c,3,漢字[かんじ],漢字 (English),,
clauseUntangler,cu_081,d,4,意味[いみ],意味 (),,
clauseUntangler,cu_082,a,1,日本[にっぽん],日本 (Japanese),,
clauseUntangler,cu_082,b,2,国[くに],国 (Country),,
clauseUntangler,cu_082,c,3,文化[ぶんか],文化 (Home),,
clauseUntangler,cu_082,d,4,歴史[れきし],歴史 (History),,
clauseUntangler,cu_083,a,1,人[ひと],人 (Home),,
clauseUntangler,cu_083,b,2,真実[しんじつ],真実 (Truth),,
clauseUntangler,cu_083,c,3,話[はなし],話 (),,
clauseUntangler,cu_083,d,4,会社[かいしゃ],会社 (Company),,
clauseUntangler,cu_084,a,1,会議[かいぎ],会議 (Meeting),,
clauseUntangler,cu_084,b,2,来週[らいしゅう],来週 (Next week),,
clauseUntangler,cu_084,c,3,説明[せつめい],説明,,
clauseUntangler,cu_084,d,4,件[けん],件 (),,
clauseUntangler,cu_085,a,1,資料[しりょう],資料 (),,
clauseUntangler,cu_085,b,2,添付[てんぷ],添付 (),,
clauseUntangler,cu_085,c,3,メール,メール (Mail),,
clauseUntangler,cu_085,d,4,返信[へんしん],返信 (Replies),,
clauseUntangler,cu_086,a,1,連絡[れんらく],連絡 (Contact),,
clauseUntangler,cu_086,b,2,点[てん],点 (),,
clauseUntangler,cu_086,c,3,担当[たんとう],担当 (Contact),,
clauseUntangler,cu_086,d,4,質問[しつもん],質問 (),,
clauseUntangler,cu_087,a,1,署名[しょめい],署名 (Sign),,
clauseUntangler,cu_087,b,2,写[うつ]し,写し (Home),,
clauseUntangler,cu_087,c,3,書類[しょるい],書類 (),,
clauseUntangler,cu_087,d,4,返信[へんしん],返信 (Replies),,
clauseUntangler,cu_088,a,1,日付[ひづけ],日付 (Date),,
clauseUntangler,cu_088,b,2,右上[みぎうえ],右上 (Top),,
clauseUntangler,cu_088,c,3,提出[ていしゅつ],提出 (),,
clauseUntangler,cu_088,d,4,用紙[ようし],用紙 (Paper),,
clauseUntangler,cu_089,a,1,内容[ないよう],内容 (),,
clauseUntangler,cu_089,b,2,担当者[たんとうしゃ],担当者 (Contact),,
clauseUntangler,cu_089,c,3,メール,メール (Mail),,
clauseUntangler,cu_089,d,4,会社[かいしゃ],会社 (Company),,
clauseUntangler,cu_090,a,1,料金[りょうきん],料金 (Price),,
clauseUntangler,cu_090,b,2,発表[はっぴょう],発表 (),,
clauseUntangler,cu_090,c,3,来月[らいげつ],来月 (Next month),,
clauseUntangler,cu_090,d,4,市民[しみん],市民 (Home),,
clauseUntangler,cu_091,a,1,現地[げんち],現地 (Home),,
clauseUntangler,cu_091,b,2,報道[ほうどう],報道 (News),,
clauseUntangler,cu_091,c,3,記者[きしゃ],記者 (Contact),,
clauseUntangler,cu_091,d,4,事件[じけん],事件 (Home),,
clauseUntangler,cu_092,a,1,警察[けいさつ],警察 (Police),,
clauseUntangler,cu_092,b,2,発表[はっぴょう],発表 (),,
clauseUntangler,cu_092,c,3,世論[よろん],世論 (),,
clauseUntangler,cu_092,d,4,事実[じじつ],事実 (Facts),,
clauseUntangler,cu_093,a,1,問題[もんだい],問題 (),,
clauseUntangler,cu_093,b,2,専門家[せんもんか],専門家 (Experts),,
clauseUntangler,cu_093,c,3,議論[ぎろん],議論 (),,
clauseUntangler,cu_093,d,4,社会[しゃかい],社会 (Company),,
clauseUntangler,cu_094,a,1,去年[きょねん],去年 (Last year),,
clauseUntangler,cu_094,b,2,売上[うりあげ],売上 (Sales),,
clauseUntangler,cu_094,c,3,数字[すうじ],数字 (),,
clauseUntangler,cu_094,d,4,会社[かいしゃ],会社 (Company),,
clauseUntangler,cu_095,a,1,海外[かいがい],海外 (Overseas),,
clauseUntangler,cu_095,b,2,公開[こうかい],公開 (Home),,
clauseUntangler,cu_095,c,3,映画[えいが],映画 (Movie),,
clauseUntangler,cu_095,d,4,話題[わだい],話題 (),,
clauseUntangler,cu_096,a,1,政府[せいふ],政府 (Government),,
clauseUntangler,cu_096,b,2,内容[ないよう],内容 (),,
clauseUntangler,cu_096,c,3,国民[こくみん],国民 (Home),,
clauseUntangler,cu_096,d,4,対策[たいさく],対策 (),,
clauseUntangler,cu_097,a,1,状況[じょうきょう],状況 (Contact),,
clauseUntangler,cu_097,b,2,目撃者[もくげきしゃ],目撃者 (Blind),,
clauseUntangler,cu_097,c,3,混乱[こんらん],混乱 (Confusion),,
clauseUntangler,cu_097,d,4,事故[じこ],事故 (Accident),,
clauseUntangler,cu_098,a,1,関係者[かんけいしゃ],関係者 (Contact),,
clauseUntangler,cu_098,b,2,事実関係[じじつかんけい],事実関係 (Facts),,
clauseUntangler,cu_098,c,3,時間[じかん],時間 (Time),,
clauseUntangler,cu_098,d,4,調査[ちょうさ],調査 (Search),,
clauseUntangler,cu_099,a,1,原因[げんいん],原因 (Cause),,
clauseUntangler,cu_099,b,2,調査[ちょうさ],調査 (Search),,
clauseUntangler,cu_099,c,3,事故[じこ],事故 (Accident),,
clauseUntangler,cu_099,d,4,現場[げんば],現場 (Home),,
clauseUntangler,cu_100,a,1,現場[げんば],現場 (Home),,
clauseUntangler,cu_100,b,2,分析[ぶんせき],分析 (),,
clauseUntangler,cu_100,c,3,警察[けいさつ],警察 (Police),,
clauseUntangler,cu_100,d,4,物証[ぶっしょう],物証 (Certificate),,
omissionDetective,od_001,a,1,A,A,,
omissionDetective,od_001,b,2,B,B,,
omissionDetective,od_001,c,3,田中[たなか]さん,田中さん (Mr. Tanaka),,
omissionDetective,od_001,d,4,分[わ]からない,分からない (I don't know),,
omissionDetective,od_002,a,1,A,A,,
omissionDetective,od_002,b,2,B,B,,
omissionDetective,od_002,c,3,母[はは],母 (Mother),,
omissionDetective,od_002,d,4,分[わ]からない,分からない (I don't know),,
omissionDetective,od_003,a,1,A,A,,
omissionDetective,od_003,b,2,B,B,,
omissionDetective,od_003,c,3,部長[ぶちょう],部長 (Director),,
omissionDetective,od_003,d,4,分[わ]からない,分からない (I don't know),,
omissionDetective,od_004,a,1,A,A,,
omissionDetective,od_004,b,2,B,B,,
omissionDetective,od_004,c,3,店員[てんいん],店員 (Staff),,
omissionDetective,od_004,d,4,分[わ]からない,分からない (I don't know),,
