surface,reading,part_of_speech,definitions,jlpt_level,tags
人,にん,noun,counter (people),N4,counter
人,ひと,noun,person,N5,common
今,いま,noun,now,N5,common
今日,きょう,noun,today,N5,common
仕事,しごと,noun,work; job,N5,work
他動詞,たどうし,noun,transitive verb,N3,grammar
休む,やすむ,verb,to rest,N5,godan
休暇,きゅうか,noun,vacation; leave,N4,work
会う,あう,verb,to meet,N5,godan
会社,かいしゃ,noun,company,N5,work
会議,かいぎ,noun,meeting,N4,work
住所,じゅうしょ,noun,address,N5,common
使う,つかう,verb,to use,N5,godan
便利,べんり,na-adjective,convenient,N5,na-adj
個,こ,counter,counter (general),N4,counter
借りる,かりる,verb,to borrow,N5,ichidan
働く,はたらく,verb,to work,N5,godan
元気,げんき,na-adjective,healthy; energetic,N5,na-adj
兄,あに,noun,older brother,N5,common
先生,せんせい,noun,teacher,N5,common
入る,はいる,verb,to enter,N5,godan
入れる,いれる,verb,to put in,N5,ichidan
全然,ぜんぜん,adverb,not at all (with neg.),N5,adverb
全部,ぜんぶ,noun,all; entire,N5,common
冊,さつ,counter,counter (books),N4,counter
出す,だす,verb,to take out; to submit,N5,godan
出る,でる,verb,to leave; to appear,N5,ichidan
分かる,わかる,verb,to understand,N5,godan
別に,べつに,adverb,not particularly,N5,adverb
副助詞,ふくじょし,noun,adverbial particle,N4,grammar
助ける,たすける,verb,to help,N5,ichidan
助詞,じょし,noun,particle,N5,grammar
勉強する,べんきょうする,verb,to study,N5,irregular
匹,ひき,counter,counter (small animals),N4,counter
半分,はんぶん,noun,half,N5,common
危険,きけん,noun,danger,N4,common
参加する,さんかする,verb,to participate,N4,irregular
友だち,ともだち,noun,friend,N5,common
取る,とる,verb,to take,N5,godan
古い,ふるい,i-adjective,old (thing),N5,i-adj
台,だい,counter,counter (machines),N4,counter
名前,なまえ,noun,name,N5,common
吹く,ふく,verb,to blow,N5,godan
問題,もんだい,noun,problem; question,N5,common
四つ,よっつ,counter,four (things),N5,counter
国,くに,noun,country,N5,common
地図,ちず,noun,map,N5,common
埋める,うめる,verb,to fill (a gap); to bury,N4,godan
報告,ほうこく,noun,report,N3,work
場合,ばあい,noun,case; situation,N4,common
売る,うる,verb,to sell,N5,godan
変える,かえる,verb,to change (tr.),N5,ichidan
変わる,かわる,verb,to change (intr.),N5,godan
多い,おおい,i-adjective,many,N5,i-adj
大きい,おおきい,i-adjective,big,N5,i-adj
大丈夫,だいじょうぶ,na-adjective,okay; all right,N5,na-adj
大切,たいせつ,na-adjective,important,N5,na-adj
大学,だいがく,noun,university,N5,common
天気,てんき,noun,weather,N5,common
女,おんな,noun,woman; female,N5,common
好き,すき,na-adjective,like; fond,N5,na-adj
妹,いもうと,noun,younger sister,N5,common
姉,あね,noun,older sister,N5,common
始まる,はじまる,verb,to begin (intr.),N5,godan
始める,はじめる,verb,to begin,N5,ichidan
嫌い,きらい,na-adjective,dislike,N5,na-adj
子ども,こども,noun,child,N5,common
学校,がっこう,noun,school,N5,common
学生,がくせい,noun,student,N5,common
安い,やすい,i-adjective,cheap,N5,i-adj
安全,あんぜん,noun,safety,N4,common
家,いえ,noun,house,N5,common
家族,かぞく,noun,family,N5,common
寂しい,さびしい,i-adjective,lonely,N5,i-adj
寒い,さむい,i-adjective,cold (weather),N5,i-adj
対応する,たいおうする,verb,to handle; to respond,N3,irregular | work
小さい,ちいさい,i-adjective,small,N5,i-adj
少ない,すくない,i-adjective,few,N5,i-adj
届ける,とどける,verb,to deliver,N5,ichidan
常体,じょうたい,noun,plain style,N4,register
平仮名,ひらがな,noun,hiragana,N5,common
年,ねん,noun,year,N5,common
年齢,ねんれい,noun,age,N5,common
広い,ひろい,i-adjective,wide; spacious,N5,i-adj
座る,すわる,verb,to sit,N5,godan
建てる,たてる,verb,to build,N5,ichidan
弟,おとうと,noun,younger brother,N5,common
役に立つ,やくにたつ,expression,to be useful,N4,common
待つ,まつ,verb,to wait,N5,godan
必要,ひつよう,na-adjective,necessary,N5,na-adj
忘れる,わすれる,verb,to forget,N5,ichidan
忙しい,いそがしい,i-adjective,busy,N5,i-adj
思う,おもう,verb,to think,N5,godan
悪い,わるい,i-adjective,bad,N5,i-adj
意味,いみ,noun,meaning,N5,common
承認,しょうにん,noun,approval,N3,work
持つ,もつ,verb,to hold; to have,N5,godan
授業,じゅぎょう,noun,class; lesson,N5,common
授業中,じゅぎょうちゅう,noun,during class,N4,common
教える,おしえる,verb,to teach; to tell,N5,ichidan
敬体,けいたい,noun,polite style (です／ます),N4,register
敬語,けいご,noun,honorific language,N4,register
文,ぶん,noun,sentence; text,N5,common
文中,ぶんちゅう,noun,in the sentence; mid-sentence,N3,grammar
文脈,ぶんみゃく,noun,context,N3,grammar
料理,りょうり,noun,cooking; dish,N5,common
新しい,あたらしい,i-adjective,new,N5,i-adj
日,ひ,noun,day; sun,N5,common
日本,にほん,noun,Japan,N5,common
日本語,にほんご,noun,Japanese language,N5,common
早い,はやい,i-adjective,early; fast,N5,i-adj
明日,あした,noun,tomorrow,N5,common
易しい,やさしい,i-adjective,easy; kind,N5,i-adj
昨日,きのう,noun,yesterday,N5,common
昼ごはん,ひるごはん,noun,lunch,N5,common
時,とき,noun,time; when,N5,common
時々,ときどき,adverb,sometimes,N5,adverb
晩ごはん,ばんごはん,noun,dinner,N5,common
普通体,ふつうたい,noun,plain form style,N4,register
暑い,あつい,i-adjective,hot (weather),N5,i-adj
暖かい,あたたかい,i-adjective,warm,N5,i-adj
曲がる,まがる,verb,to turn (corner),N5,godan
書き言葉,かきことば,noun,written language,N3,register
書く,かく,verb,to write,N5,godan
書類,しょるい,noun,documents,N4,work
月,つき,noun,moon; month,N5,common
有名,ゆうめい,na-adjective,famous,N5,na-adj
朝ごはん,あさごはん,noun,breakfast,N5,common
本,ほん,noun,book,N5,common
本,ほん,noun,counter (long objects),N4,counter
来た,きた,verb,came,N5,irregular
来ます,きます,verb,to come (polite),N5,irregular
来る,くる,verb,to come,N5,irregular | common
枚,まい,counter,counter (flat things),N4,counter
果物,くだもの,noun,fruit,N5,common
格助詞,かくじょし,noun,case particle,N4,grammar
検討する,けんとうする,verb,to consider; to examine,N3,irregular | work
楽しい,たのしい,i-adjective,fun,N5,i-adj
歌う,うたう,verb,to sing,N5,godan
止まる,とまる,verb,to stop (intr.),N4,godan
止める,とめる,verb,to stop (tr.),N4,ichidan
死ぬ,しぬ,verb,to die,N5,godan
残す,のこす,verb,to leave behind,N5,godan
残る,のこる,verb,to remain,N5,godan
残業,ざんぎょう,noun,overtime,N4,work
母,はは,noun,mother,N5,common
比べる,くらべる,verb,to compare,N5,ichidan
気をつける,きをつける,expression,to be careful,N4,common
水,みず,noun,water,N5,common
決まる,きまる,verb,to be decided,N5,godan
決める,きめる,verb,to decide,N5,ichidan
注意,ちゅうい,noun,caution; attention,N4,common
泳ぐ,およぐ,verb,to swim,N5,godan
消える,きえる,verb,to disappear,N5,ichidan
消す,けす,verb,to erase; to turn off,N5,godan
涼しい,すずしい,i-adjective,cool (pleasant),N5,i-adj
渡す,わたす,verb,to hand over,N5,godan
渡る,わたる,verb,to cross,N5,godan
漢字,かんじ,noun,kanji,N5,common
無理,むり,na-adjective,impossible; unreasonable,N5,na-adj
父,ちち,noun,father,N5,common
片仮名,かたかな,noun,katakana,N5,common
特に,とくに,adverb,especially,N5,adverb
狭い,せまい,i-adjective,narrow,N5,i-adj
理由,りゆう,noun,reason,N4,common
生きる,いきる,verb,to live,N5,ichidan
用事,ようじ,noun,errand; business,N4,common
用事,ようじ,noun,task,N4,work
男,おとこ,noun,man; male,N5,common
町,まち,noun,town; city,N5,common
番,ばん,noun,number; turn,N4,common
番号,ばんごう,noun,number,N5,common
白い,しろい,i-adjective,white,N5,i-adj
目,め,counter,〜th (ordinal suffix),N4,counter
目的,もくてき,noun,purpose,N4,common
目的語,もくてきご,noun,object (grammar),N3,grammar
省略,しょうりゃく,noun,omission; abbreviation,N3,grammar
着きました,つきました,verb,arrived (polite),N5,polite
着く,つく,verb,to arrive,N5,godan
知る,しる,verb,to know,N5,godan
短い,みじかい,i-adjective,short,N5,i-adj
確認,かくにん,noun,confirmation; checking,N4,work
確認する,かくにんする,verb,to confirm,N4,irregular
社員,しゃいん,noun,company employee,N4,work
社長,しゃちょう,noun,company president,N4,work
窓,まど,noun,window,N5,common
立つ,たつ,verb,to stand,N5,godan
答え,こたえ,noun,answer,N5,common
簡単,かんたん,na-adjective,simple,N5,na-adj
約束,やくそく,noun,promise,N4,common
終わる,おわる,verb,to end,N5,godan
終助詞,しゅうじょし,noun,sentence-final particle,N4,grammar
給料,きゅうりょう,noun,salary,N4,work
続ける,つづける,verb,to continue,N4,ichidan
練習する,れんしゅうする,verb,to practice,N5,irregular
置く,おく,verb,to put; to place,N5,godan
習う,ならう,verb,to learn (from a teacher),N5,godan
考える,かんがえる,verb,to think (consider),N5,ichidan
聞く,きく,verb,to hear; to listen,N5,godan
肉,にく,noun,meat,N5,common
自動詞,じどうし,noun,intransitive verb,N3,grammar
自由,じゆう,na-adjective,freedom; free,N5,na-adj
船,ふね,noun,ship,N5,common
良い,よい,i-adjective,good,N5,i-adj
英語,えいご,noun,English language,N5,common
行かない,いかない,verb,do not go,N5,godan
行きます,いきます,verb,to go (polite),N5,godan
行く,いく,verb,to go,N5,godan | common
行った,いった,verb,went,N5,godan | past
見た,みた,verb,saw,N5,ichidan | past
見ます,みます,verb,to see (polite),N5,ichidan
見られる,みられる,verb,can see; be seen,N4,ichidan | potential
見る,みる,verb,to see; to watch,N5,ichidan | common
規則,きそく,noun,rule; regulation,N4,work
覚える,おぼえる,verb,to remember; to learn,N5,ichidan
言う,いう,verb,to say,N5,godan
言葉,ことば,noun,word; language,N5,common
試験,しけん,noun,exam,N5,common
話し言葉,はなしことば,noun,spoken language,N3,register
話す,はなす,verb,to speak,N5,godan
語,ご,noun,language; word,N5,common
説明,せつめい,noun,explanation,N4,common
説明する,せつめいする,verb,to explain,N4,irregular
読みます,よみます,verb,read (polite),N5,polite
読む,よむ,verb,to read,N5,godan
課長,かちょう,noun,section chief,N4,work
調べる,しらべる,verb,to investigate,N5,ichidan
買う,かう,verb,to buy,N5,godan
貸す,かす,verb,to lend,N5,godan
資料,しりょう,noun,materials; data,N4,work
賑やか,にぎやか,na-adjective,lively,N5,na-adj
質問,しつもん,noun,question,N5,common
赤い,あかい,i-adjective,red,N5,i-adj
走る,はしる,verb,to run,N5,godan
起きる,おきる,verb,to wake up; to get up,N5,ichidan
足す,たす,verb,to add,N5,godan
足りる,たりる,verb,to be enough,N5,ichidan
車,くるま,noun,car,N5,common
近い,ちかい,i-adjective,near,N5,i-adj
返す,かえす,verb,to return (something),N5,godan
返る,かえる,verb,to return (intr.),N5,godan
述語,じゅつご,noun,predicate,N3,grammar
送る,おくる,verb,to send,N5,godan
連絡,れんらく,noun,contact,N4,work
連絡する,れんらくする,verb,to contact,N4,irregular
遅い,おそい,i-adjective,late; slow,N5,i-adj
遊ぶ,あそぶ,verb,to play,N5,godan
運転する,うんてんする,verb,to drive,N5,irregular
道,みち,noun,road; way,N5,common
遠い,とおい,i-adjective,far,N5,i-adj
部屋,へや,noun,room,N5,common
部長,ぶちょう,noun,department head,N4,work
野菜,やさい,noun,vegetable,N5,common
鍵,かぎ,noun,key; lock,N5,common
長い,ながい,i-adjective,long,N5,i-adj
閉まる,しまる,verb,to close (intr.),N5,godan
閉める,しめる,verb,to close (tr.),N5,ichidan
開く,あく,verb,to open (intr.); to become open,N5,godan
開ける,あける,verb,to open (tr.),N5,ichidan
関係,かんけい,noun,relationship,N4,common
降りる,おりる,verb,to get off; descend,N5,ichidan
降る,ふる,verb,to fall (rain/snow),N5,godan
集まる,あつまる,verb,to gather (intr.),N5,godan
集める,あつめる,verb,to collect,N5,ichidan
難しい,むずかしい,i-adjective,difficult,N5,i-adj
雨,あめ,noun,rain,N5,common
雪,ゆき,noun,snow,N5,common
電話,でんわ,noun,telephone,N5,common
電車,でんしゃ,noun,train,N5,common
青い,あおい,i-adjective,blue,N5,i-adj
静か,しずか,na-adjective,quiet,N5,na-adj
風,かぜ,noun,wind; cold (illness),N5,common
飛行機,ひこうき,noun,airplane,N5,common
食べた,たべた,verb,ate,N5,ichidan | past
食べない,たべない,verb,do not eat,N5,ichidan | negative
食べます,たべます,verb,to eat (polite),N5,ichidan | polite
食べる,たべる,verb,to eat,N5,ichidan | common
駅,えき,noun,station,N5,common
高い,たかい,i-adjective,high; expensive,N5,i-adj
魚,さかな,noun,fish,N5,common
黄色い,きいろい,i-adjective,yellow,N5,i-adj
黒い,くろい,i-adjective,black,N5,i-adj
